leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'L. Suárez':'21'''}","{'I. Rakitić':'21'''}","{'G. Piqué':'75'''}",,,"{'Rafinha':'I. Rakitić,61''','J. Mascherano':'Rafinha,66'''}",Barcelona,69,6,7,5,2,1442436300000,2015-09-16,2015/2016,1,"{'A. Florenzi':'31'''}",,"{'R. Nainggolan':'63'''}",,,"{'M. De Sanctis':'W. Szczęsny,49''','J. Iturbe':'Iago Falque,82''','V. Torosidis':'A. Florenzi,85'''}",Roma,31,3,1,12,5,1,57836
CHAMPIONS,1,"{'A. Mehmedi':'68'''}","{'H. Çalhanoğlu':'68'''}","{'G. Donati':'90''','K. Kampl':'34''','Wendell':'79'''}",,,"{'J. Brandt':'H. Çalhanoğlu,78''','V. Yurchenko':'A. Mehmedi,89'''}",B. Leverkusen,62,7,7,16,0,1448388000000,2015-11-24,2015/2016,1,"{'M. Gordeychuk':'2'''}","{'M. Valadzko':'2'''}","{'A. Hleb':'32''','D. Polyakov':'63''','M. Gordeychuk':'9''','M. Valadzko':'84'''}",,,"{'M. Valadzko':'A. Rios,46''','A. Karnitskiy':'A. Hleb,73''','N. Nikolic':'A. Volodjko,78'''}",BATE Borisov,38,1,0,11,6,5,12601
CHAMPIONS,1,"{'A. Dzyuba':'65'''}",,"{'Danny':'90''','Y. Lodygin':'78''','Javi García':'75''','E. Garay':'44''','A. Yusupov':'77''','N. Lombaerts':'89'''}",,,"{'P. Dolgov':'A. Ryazantsev,61''','D. Bogaev':'A. Anyukov,82''','K. Trojanov':'Javi García,86'''}",Zenit,51,3,4,16,7,1449693900000,2015-12-09,2015/2016,2,"{'D. Miličević':'78''','L. Depoitre':'18'''}","{'M. Simon':'18'''}","{'S. Mitrovic':'90''','D. Miličević':'79'''}",,,"{'B. Dejaeghere':'D. Miličević,82''','Kenny Saief':'M. Simon,88''','K. Coulibaly':'L. Depoitre,90'''}",KAA Gent,49,9,5,11,2,6,19978
CHAMPIONS,0,,,"{'R. Mir':'45'''}","{'R. Vezo':'80'''}",,"{'Santi Mina':'R. Mir,55''','Danilo':'E. Pérez,72''','R. De Paul':'J. Cancelo,79'''}",Valencia,52,4,6,14,5,1448388000000,2015-11-24,2015/2016,2,"{'O. Shatov':'15''','A. Dzyuba':'74'''}","{'A. Dzyuba':'15''','Danny':'74'''}","{'A. Yusupov':'71''','A. Witsel':'78''','D. Criscito':'17'''}",,,"{'A. Yusupov':'I. Smolnikov,65''','A. Ryazantsev':'O. Shatov,84''','A. Evseev':'Neto,86'''}",Zenit,48,7,6,20,4,5,17002
CHAMPIONS,0,,,,,,"{'J. Locadia':'J. Hendrix,73''','J. De Wijs':'S. Poulsen,74''','G. Pereiro':'L. De Jong,81'''}",PSV,52,1,5,4,6,1445460300000,2015-10-21,2015/2016,2,"{'B. Dost':'46''','M. Kruse':'57'''}","{'D. Caligiuri':'57''','J. Guilavogui':'46'''}","{'D. Benaglio':'90''','Naldo':'43'''}",,,"{'Vieirinha':'D. Caligiuri,73''','A. Schürrle':'J. Draxler,80''','M. Arnold':'J. Guilavogui,85'''}",Wolfsburg,48,8,2,9,1,3,23375
CHAMPIONS,0,,,"{'O. Adin':'56'''}",,,"{'O. Adin':'J. Denayer,25''','U. Bulut':'B. Kisa,63''','S. Gümüs':'H. Balta,78'''}",Galatasaray SK,41,1,3,10,10,1448484300000,2015-11-25,2015/2016,2,"{'A. Griezmann':'12'',65'''}","{'Gabi':'12'',65'''}",,,,"{'L. Vietto':'A. Griezmann,68''','Ó. Torres':'Y. Carrasco,71''','Saúl':'Tiago,75'''}",Atlético,59,12,8,7,1,5,35753
CHAMPIONS,0,,,"{'L. Milivojevic':'63'''}",,,"{'K. Fortounis':'P. Kasami,67''','Hernâni':'F. Pardo,67''','Leandro Salino':'O. Elabdellaoui,78'''}",Olympiacos Piraeus,36,0,2,9,4,1448397900000,2015-11-24,2015/2016,4,"{'K. Coman':'69''','T. Müller':'20''','D. Costa':'8''','R. Lewandowski':'16'''}","{'K. Coman':'16''','T. Müller':'69''','A. Robben':'20''','J. Boateng':'8'''}","{'J. Boateng':'42'''}","{'H. Badstuber':'53'''}",,"{'J. Kimmich':'A. Robben,33''','M. Benatia':'R. Lewandowski,56''','J. Martínez':'D. Costa,72'''}",Bayern München,64,8,5,5,0,5,70000
CHAMPIONS,1,"{'S. Lichtsteiner':'44'''}","{'P. Pogba':'44'''}","{'C. Marchisio':'56''','P. Dybala':'63''','S. Sturaro':'67'''}","{'Hernanes':'53'''}",,"{'J. Cuadrado':'P. Dybala,63''','A. Barzagli':'Á. Morata,75''','M. Lemina':'S. Sturaro,87'''}",Juventus,33,3,8,10,6,1446583500000,2015-11-03,2015/2016,1,"{'F. Johnson':'18'''}","{'Raffael':'18'''}",,,,"{'T. Hazard':'F. Johnson,85'''}",B. Monchengladbach,67,7,8,9,2,4,46217
CHAMPIONS,0,,,"{'D. Srna':'55''','O. Kucher':'53''','Fred':'67''','Y. Rakitsky':'50'''}",,,"{'Eduardo':'Marlos,71''','V. Kovalenko':'O. Gladky,81'''}",Shakhtar Donetsk,68,1,10,11,5,1445460300000,2015-10-21,2015/2016,1,"{'M. Rosenberg':'17'''}","{'P. Konate':'17'''}","{'R. Bengtsson':'43''','M. Rosenberg':'79''','O. Lewicki':'33'''}",,,"{'E. Rakip':'V. Rodic,79''','A. Mehmeti':'N. Djurdjic,89'''}",Malmö,32,6,4,11,1,3,20500
CHAMPIONS,2,"{'Fernandinho':'72''','K. De Bruyne':'38'''}","{'Fernandinho':'38'''}","{'Fernando':'36''','G. Clichy':'12''','E. Mangala':'83''','J. Navas':'85'''}",,,"{'F. Delph':'K. De Bruyne,77''','W. Bony':'D. Silva,88''','A. Kolarov':'S. Agüero,90'''}",Man. City,36,3,4,15,3,1459975500000,2016-04-06,2015/2016,2,"{'A. Rabiot':'59''','Z. Ibrahimovic':'41'''}","{'E. Cavani':'59'''}","{'B. Matuidi':'48''','David Luiz':'1'''}",,,"{'Lucas Moura':'A. Rabiot,78''','G. Van Der Wiel':'S. Aurier,78'''}",PSG,64,5,4,6,1,cuartos,47228
