leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
LALIGA,2,"{'J. Saviola':'16'',76'''}","{'Xavi':'76''','P. Christanval':'16'''}","{'F. Coco':'37''','Fábio Rochemback':'41''','P. Christanval':'90'''}",,,"{'Xavi':'M. Overmars,63''','Gabri':'Rivaldo,78''','T. Motta':'Luis Enrique,82'''}",Barcelona,,,,,,1018128600000,2002-04-06,2001/2002,0,,,"{'Larrazábal':'89''','Alkiza':'68''','F. Yeste':'52''','Aitor Ocio':'6'''}",,,"{'S. Ezquerro':'C. Gurpegui,56''','Carlos García':'Aitor Ocio,76''','Karanka':'F. Yeste,79'''}",Athletic,,,,,,33,
LALIGA,0,,,"{'Iñigo Idiákez':'45'''}",,,"{'Ó. De Paula':'E. Jankauskas,46''','Barkero':'M. Aranburu,66''','J. Llorente':'D. Khokhlov,69'''}",R. Sociedad,,,,,,1000058400000,2001-09-09,2001/2002,2,"{'Magno':'31'''}",,"{'Mara':'80'''}",,,"{'Ibón Begoña':'I. Alonso,59''','J. Vucko':'Magno,76''','Richard Witschge':'Mara,80'''}",Alavés,,,,,,2,
LALIGA,0,,,"{'E. Fuertes':'89'''}",,,"{'Jaime':'Bino,65''','Acorán':'Jordi,72''','Javi López':'Ivan Ania,84'''}",Tenerife,,,,,,1010941200000,2002-01-13,2001/2002,1,"{'Magno':'12'''}",,"{'Llorens':'15''','F. Coloccini':'52''','Mara':'37'''}",,,"{'Mara':'Magno,28''','Richard Witschge':'J. Vucko,65''','I. Alonso':'Rubén Navarro,74'''}",Alavés,,,,,,20,
LALIGA,2,"{'Jusué':'69''','Palacios':'52'''}",,"{'Gancedo':'9''','Alfredo':'38''','Lekumberri':'90'''}",,,"{'Rivero':'Alfredo,64''','Lekumberri':'Gancedo,84''','Armentano':'J. Aloisi,90'''}",Osasuna,,,,,,1010336400000,2002-01-06,2001/2002,0,,,"{'Ibón Begoña':'42''','Llorens':'64''','Pablo':'30'''}",,,"{'Turiel':'Magno,58''','J. Vucko':'Ibón Begoña,58''','Rubén Navarro':'I. Alonso,71'''}",Alavés,,,,,,19,
LALIGA,0,,,"{'Sylvinho':'79''','P. Luccin':'17''','Doriva':'62'''}",,,"{'Edu':'Yago Yao,67''','Vagner':'Sylvinho,82''','Jacobo Campos':'Gustavo López,85'''}",Celta,,,,,,1006102800000,2001-11-18,2001/2002,1,"{'Pablo':'4'''}",,"{'Llorens':'15''','Herrera':'87''','O. Téllez':'54''','Pablo':'79'''}",,,"{'I. Alonso':'Rubén Navarro,46''','Richard Witschge':'Turiel,60''','Kanu':'Magno,80'''}",Alavés,,,,,,13,
LALIGA,1,"{'Fernando':'8'''}",,"{'Torres Gómez':'55''','Jesús Sánchez':'39'''}",,,"{'Eusebio':'L. García,70''','C. Blanco':'Gaspar,78''','Pachón':'Tote,83'''}",Real Valladolid,,,,,,1015174800000,2002-03-03,2001/2002,3,"{'D. Geli':'56'',65''','Magno':'38'''}",,"{'Rubén Navarro':'45''','Llorens':'36'''}",,,"{'I. Alonso':'Magno,70''','Lombardi':'Rubén Navarro,80'''}",Alavés,,,,,,28,
LALIGA,1,"{'Djalminha':'64'''}",,"{'Amavisca':'62'''}",,,"{'Djalminha':'J. Valerón,61''','César':'G. Djorovic,69''','Diego Tristán':'R. Makaay,75'''}",Deportivo,,,,,,1012150800000,2002-01-27,2001/2002,1,"{'S. Ezquerro':'69'''}",,"{'Julen Guerrero':'10''','Aitor Ocio':'72''','A. Del Horno':'89''','Urrutia':'78'''}",,,"{'Ismael Urzaiz':'J. Etxeberría,46''','Tiko':'Cuéllar,61''','Urrutia':'Julen Guerrero,76'''}",Athletic,,,,,,22,
LALIGA,4,"{'A. Luque':'11''','Chino Losada':'6'',55'''}",,"{'Olaizola':'42''','Niño':'34'''}",,,"{'Soler':'Chino Losada,67''','Carlitos':'A. Luque,81''','G. Siviero':'Niño,88'''}",Mallorca,,,,,,1012150800000,2002-01-27,2001/2002,0,,,"{'Jordi Cruyff':'86''','D. Geli':'87'''}",,,"{'I. Alonso':'Rubén Navarro,58''','J. Vucko':'Richard Witschge,58'''}",Alavés,,,,,,22,
LALIGA,1,"{'Calleja':'44'''}",,"{'D. Cagna':'46''','Roca':'46''','G. Amor':'46'''}",,,"{'Berruet':'Roca,64''','Quique Martín':'G. Amor,76''','D. Cagna':'Guayre,76'''}",Villarreal,,,,,,1018202400000,2002-04-07,2001/2002,2,"{'Llorens':'26''','F. Coloccini':'68'''}",,"{'Lombardi':'46''','Llorens':'46''','Pablo':'46'''}",,,"{'Mara':'Magno,53''','Ibón Begoña':'Jordi Cruyff,65''','Rubén Navarro':'Turiel,65'''}",Alavés,,,,,,33,
LALIGA,1,"{'J. Casquero':'83'''}",,"{'Francisco':'87''','Pablo Alfaro':'53''','Zoran Njeguš':'41''','Tomás':'70''','Javi Navarro':'61''','Víctor Salas':'90'''}",,,"{'Víctor Salas':'J. Reyes,64''','Alfonso Vera':'Gallardo,90''','Prieto':'Moisés,90'''}",Sevilla,,,,,,1008439200000,2001-12-15,2001/2002,0,,,"{'Herrera':'40''','Pablo':'85'''}","{'O. Téllez':'66'''}",,"{'Ibón Begoña':'Turiel,54''','Karmona':'Jordi Cruyff,70''','Richard Witschge':'Magno,83'''}",Alavés,,,,,,17,
