leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
SERIEA,2,"{'Francesco La Rosa':'77'',79'''}",,,,,,Pro Patria,,,,,,-574851600000,1951-10-14,1951/1952,1,,,,,,,AC Legnano,,,,,,6,
SERIEA,1,,,,,,,Lazio,,,,,,-559209600000,1952-04-12,1951/1952,1,"{'Ettore Bertoni':'15'''}",,,,,,AC Legnano,,,,,,29,
SERIEA,3,"{'Kjell Rosén':'63''','Ludwig Janda':'17''','Umberto Renica':'15'''}",,,,,,Novara Calcio,,,,,,-556704000000,1952-05-11,1951/1952,2,"{'Luciano Sassi':'12'',49'''}",,,,,,AC Legnano,,,,,,33,
SERIEA,0,,,,,,,Como,,,,,,-573642000000,1951-10-28,1951/1952,1,"{'H. Jeppson':'25'''}",,,,,,Atalanta,,,,,,8,
SERIEA,0,,,,,,,Fiorentina,,,,,,-570619800000,1951-12-02,1951/1952,1,"{'Guglielmo Trevisan':'60'''}",,,,,,AC Legnano,,,,,,11,
SERIEA,2,"{'R. Carapellese':'70''','Albano Vicariotto':'50'''}","{'Josè Florio':'70'''}",,,,,Torino,,,,,,-554283000000,1952-06-08,1951/1952,2,"{'Luciano Sassi':'27''','Enrico Loranzi':'80'''}",,,"{'Bruno Mozzambani':'76'''}",,,AC Legnano,,,,,,36,
SERIEA,0,,,,,,,Udinese,,,,,,-562150800000,1952-03-09,1951/1952,0,,,,,,,AC Legnano,,,,,,24,
SERIEA,3,"{'Aziz Esel Bulent':'17'',58''','Alberto Fontanesi':'60'''}",,,,,,SPAL,,,,,,-573039000000,1951-11-04,1951/1952,3,"{'Guglielmo Trevisan':'44'',89''','Bruno Mozzambani':'11'''}",,,,,,AC Legnano,,,,,,9,
SERIEA,2,"{'Giuseppe Nuoto':'75''','Mario Tontodonati':'71'''}",,,,,,Lucchese Libertas 1905,,,,,,-563965200000,1952-02-17,1951/1952,0,,,,,,,AC Legnano,,,,,,22,
SERIEA,2,"{'Renato Gei':'55''','Adriano Bassetto':'64'''}",,,,,,Sampdoria,,,,,,-576059400000,1951-09-30,1951/1952,1,,,,,,,AC Legnano,,,,,,4,
SERIEA,4,"{'Wilkes':'87''','Stefano Nyers':'58''','G. Giacomazzi':'50''','L. Skoglund':'30'''}",,,,,,Inter,,,,,,-560939400000,1952-03-23,1951/1952,0,,,,,,,AC Legnano,,,,,,26,
SERIEA,2,"{'Aurelio Santagostino':'65''','H. Jeppson':'80'''}","{'H. Jeppson':'65'''}",,,,,Atalanta,,,,,,-569410200000,1951-12-16,1951/1952,2,"{'Bruno Mazza':'31''','K. Palmer':'1'''}",,,,,,AC Legnano,,,,,,13,
SERIEA,2,,,,,,,Bologna,,,,,,-565174800000,1952-02-03,1951/1952,0,,,,,,,AC Legnano,,,,,,20,
SERIEA,1,"{'N. Liedholm':'84'''}",,,,,,Milan,,,,,,-555494400000,1952-05-25,1951/1952,2,"{'Luciano Sassi':'7'',86'''}","{'K. Palmer':'86'''}",,,,,AC Legnano,,,,,,34,
SERIEA,3,"{'Josef Kaiml':'9''','Euro Giannini':'24''','Josè Osvaldo Curti':'10'''}",,,,,,Triestina,,,,,,-557913600000,1952-04-27,1951/1952,1,,,,,,,AC Legnano,,,,,,31,
SERIEA,0,,,,"{'Daniele Revere':'60'''}",,,AC Legnano,,,,,,-557308800000,1952-05-04,1951/1952,2,"{'H. Jeppson':'67'''}",,,,,,Atalanta,,,,,,32,
SERIEA,0,,,,,,,Fiorentina,,,,,,-557913600000,1952-04-27,1951/1952,1,"{'H. Jeppson':'52'''}","{'Svend Jörgen Hansen':'52'''}",,,,,Atalanta,,,,,,31,
SERIEA,1,"{'Enrique Andres Martegani':'86'''}",,,,,,Padova,,,,,,-560939400000,1952-03-23,1951/1952,1,"{'H. Jeppson':'44'''}",,,,,,Atalanta,,,,,,26,
SERIEA,3,"{'G. Boniperti':'87''','John Hansen':'17''','Karl Aage Hansen':'84'''}",,,,,,Juventus,,,,,,-577269000000,1951-09-16,1951/1952,0,,,,"{'Lodovico Tubaro':'81'''}",,,AC Legnano,,,,,,2,
SERIEA,1,"{'Dante Di Maso':'23'''}",,,,,,SSD Palermo,,,,,,-553073400000,1952-06-22,1951/1952,1,"{'Lorenzo Colpo':'90'''}",,,,,,AC Legnano,,,,,,38,
SERIEA,2,"{'Ercole Rabitti':'65''','Renato Cattaneo':'71'''}",,,,,,Como,,,,,,-567595800000,1952-01-06,1951/1952,1,"{'Bruno Mozzambani':'46'''}",,,,,,AC Legnano,,,,,,16,
